Timestamp,Speed,X,Y,Z
0 days 00:00:00,0.0,-1175.9720800741943,1608.1254402458967,1883.0000003879532
0 days 00:00:00.007000,0.0,-1175.9747297465867,1608.1070592103836,1883.0000003512114
0 days 00:00:00.056000,0.0,-1176.0,1608.0,1883.0
0 days 00:00:00.256000,0.0,-1176.0,1608.0,1883.0
0 days 00:00:00.287000,0.0,-1175.8913314268173,1608.0815665909722,1883.0000015102985
0 days 00:00:00.447000,0.0,-1175.031419111741,1608.9266525796868,1883.0000019524166
0 days 00:00:00.456000,0.06249955555555555,-1175.0,1609.0,1883.0
0 days 00:00:00.796000,2.423610666666667,-1175.0,1615.0,1883.0
0 days 00:00:00.807000,2.5,-1174.974980040102,1615.3746653484939,1883.0000208167585
0 days 00:00:00.967000,4.722222222222222,-1174.2691383823424,1622.3350716469686,1883.0002965436502
0 days 00:00:01.016000,5.119212444444444,-1174.0,1625.0,1883.0
0 days 00:00:01.196000,6.577545777777777,-1173.0,1637.0,1883.0
0 days 00:00:01.207000,6.666666666666666,-1172.9452204713493,1637.8652121191637,1883.0005547525343
0 days 00:00:01.376000,8.510912,-1172.0,1653.0,1883.0
0 days 00:00:01.487000,9.722222222222221,-1170.7264911204245,1664.4007940994256,1882.9439247563364
0 days 00:00:01.616000,11.289929777777777,-1169.0,1679.0,1883.0
0 days 00:00:01.647000,11.666666666666666,-1168.641280680875,1682.7222261968172,1883.0670766986111
0 days 00:00:01.847000,13.88888888888889,-1166.7203658362391,1708.9198114447258,1883.84780173528
0 days 00:00:01.915000,14.515906113952015,-1166.0,1719.0,1884.0
0 days 00:00:02.075000,15.991240761159371,-1164.0,1745.0,1884.0
0 days 00:00:02.088000,16.11111111111111,-1163.824097701314,1747.1819993248819,1883.9966163860558
0 days 00:00:02.328000,19.72222222222222,-1160.0320148547669,1790.9726792792085,1884.0058713506617
0 days 00:00:02.375000,20.157408,-1159.0,1802.0,1884.0
0 days 00:00:02.568000,21.944444444444443,-1153.740918032469,1856.8904171503477,1883.9730885180197
0 days 00:00:02.595000,22.185516444444442,-1153.0,1865.0,1884.0
0 days 00:00:02.848000,24.444444444444443,-1146.7409047842334,1940.781924176518,1884.740048230506
0 days 00:00:02.975000,26.30632809876543,-1144.0,1975.0,1885.0
0 days 00:00:03.208000,29.72222222222222,-1139.5687920399423,2027.2764076618882,1884.7992785962297
0 days 00:00:03.375000,31.809723022222222,-1136.0,2069.0,1885.0
0 days 00:00:03.408000,32.22222222222222,-1135.1899633125445,2078.6243682044833,1885.1409261730391
0 days 00:00:03.575000,34.541667555555556,-1130.0,2139.0,1886.0
0 days 00:00:03.795000,37.59722311111111,-1118.0,2270.0,1886.0
0 days 00:00:03.808000,37.77777777777778,-1117.193123627504,2279.1285801989548,1886.0245720179441
0 days 00:00:03.968000,40.833333333333336,-1106.7074918838744,2402.2827292222382,1886.8032088572259
0 days 00:00:04.168000,43.61111111111111,-1095.293766036482,2540.481252839958,1887.9784803228167
0 days 00:00:04.175000,43.70138971428572,-1095.0,2544.0,1888.0
0 days 00:00:04.448000,47.22222222222222,-1087.916068892779,2625.857693307151,1887.999919109854
0 days 00:00:04.515000,47.22222222222222,-1086.0,2647.0,1888.0
0 days 00:00:04.767000,47.22222222222222,-1075.6552327332959,2761.7153538755856,1888.531205756507
0 days 00:00:04.856000,48.458332444444444,-1072.0,2806.0,1889.0
0 days 00:00:04.927000,49.44444444444444,-1069.3420630735266,2840.6583443143995,1889.4968926738434
0 days 00:00:05.016000,50.062499555555554,-1066.0,2884.0,1890.0
0 days 00:00:05.176000,51.17361066666667,-1059.0,2964.0,1890.0
0 days 00:00:05.247000,51.666666666666664,-1055.7780704558845,3000.1315938232538,1890.2445305283832
0 days 00:00:05.396000,51.666666666666664,-1049.0,3077.0,1891.0
0 days 00:00:05.487000,51.666666666666664,-1044.9141086493883,3124.536802676827,1891.0194540205762
0 days 00:00:05.576000,51.666666666666664,-1041.0,3170.0,1891.0
0 days 00:00:05.816000,51.666666666666664,-1030.0,3294.0,1892.0
